Building_Code,Date,Gas_Consumption,Month,Year,Season
G501 Staff Club Gas meter,2022-09-01,1520.42,9,2022,Spring
G601,2022-09-01,1492.32,9,2022,Spring
G608,2022-09-01,3807.72,9,2022,Spring
G60X,2022-09-01,41296.0,9,2022,Spring
F204,2022-10-01,11694.02,10,2022,Spring
F402,2022-10-01,5045.01,10,2022,Spring
F405,2022-10-01,21627.6,10,2022,Spring
F512,2022-10-01,21509.44,10,2022,Spring
F516/17,2022-10-01,5292.2,10,2022,Spring
F603,2022-10-01,2358.04,10,2022,Spring
F620 Psychology 2,2022-10-01,4457.74,10,2022,Spring
F62X,2022-10-01,50627.18,10,2022,Spring
F916,2022-10-01,1509.5,10,2022,Spring
F940,2022-10-01,131764.4,10,2022,Spring
G403 Biochemistry Gas meter,2022-10-01,35.36,10,2022,Spring
G404 Microbiology Gas meter,2022-10-01,18227.345,10,2022,Spring
G412,2022-10-01,2779.89,10,2022,Spring
G501 Staff Club Gas meter,2022-10-01,1838.65,10,2022,Spring
G601,2022-10-01,1370.5,10,2022,Spring
G608,2022-10-01,3285.7,10,2022,Spring
G60X,2022-10-01,42049.0,10,2022,Spring
F204,2022-11-01,7918.79,11,2022,Spring
F402,2022-11-01,4290.24,11,2022,Spring
F405,2022-11-01,17254.62,11,2022,Spring
F512,2022-11-01,3531.39,11,2022,Spring
F516/17,2022-11-01,3953.94,11,2022,Spring
F603,2022-11-01,1768.53,11,2022,Spring
F620 Psychology 2,2022-11-01,4953.04,11,2022,Spring
F62X,2022-11-01,30496.59,11,2022,Spring
F916,2022-11-01,12551.58,11,2022,Spring
F940,2022-11-01,62315.05,11,2022,Spring
G403 Biochemistry Gas meter,2022-11-01,106.08,11,2022,Spring
G404 Microbiology Gas meter,2022-11-01,17449.455,11,2022,Spring
G412,2022-11-01,40506.95,11,2022,Spring
G501 Staff Club Gas meter,2022-11-01,1520.42,11,2022,Spring
G601,2022-11-01,1461.86,11,2022,Spring
G608,2022-11-01,3838.43,11,2022,Spring
G60X,2022-11-01,2173.43,11,2022,Spring
F204,2022-12-01,4020.78,12,2022,Summer
F402,2022-12-01,4687.49,12,2022,Summer
F405,2022-12-01,7254.4,12,2022,Summer
F512,2022-12-01,12390.85,12,2022,Summer
F516/17,2022-12-01,2919.83,12,2022,Summer
F603,2022-12-01,663.2,12,2022,Summer
F620 Psychology 2,2022-12-01,4634.63,12,2022,Summer
F62X,2022-12-01,19069.22,12,2022,Summer
F916,2022-12-01,46780.08,12,2022,Summer
F940,2022-12-01,18670.99,12,2022,Summer
G403 Biochemistry Gas meter,2022-12-01,35.36,12,2022,Summer
G404 Microbiology Gas meter,2022-12-01,16141.185,12,2022,Summer
G412,2022-12-01,6304.39,12,2022,Summer
G501 Staff Club Gas meter,2022-12-01,636.45,12,2022,Summer
G601,2022-12-01,944.12,12,2022,Summer
G608,2022-12-01,3930.55,12,2022,Summer
G60X,2022-12-01,2682.82,12,2022,Summer
F204,2023-01-01,3345.53,1,2023,Summer
F402,2023-01-01,4528.59,1,2023,Summer
F405,2023-01-01,0.0,1,2023,Summer
F512,2023-01-01,12390.85,1,2023,Summer
F516/17,2023-01-01,2281.12,1,2023,Summer
F603,2023-01-01,589.51,1,2023,Summer
F620 Psychology 2,2023-01-01,3927.06,1,2023,Summer
F62X,2023-01-01,17724.82,1,2023,Summer
F916,2023-01-01,124769.5,1,2023,Summer
F940,2023-01-01,20524.4,1,2023,Summer
G403 Biochemistry Gas meter,2023-01-01,35.36,1,2023,Summer
G404 Microbiology Gas meter,2023-01-01,16158.865,1,2023,Summer
G412,2023-01-01,434059.75,1,2023,Summer
G501 Staff Club Gas meter,2023-01-01,212.15,1,2023,Summer
G601,2023-01-01,60.91,1,2023,Summer
G608,2023-01-01,31198.77,1,2023,Summer
G60X,2023-01-01,27880.98,1,2023,Summer
F204,2023-02-01,920.79,2,2023,Summer
F402,2023-02-01,4845.66,2,2023,Summer
F405,2023-02-01,0.0,2,2023,Summer
F512,2023-02-01,12390.85,2,2023,Summer
F516/17,2023-02-01,1003.69,2,2023,Summer
F603,2023-02-01,221.07,2,2023,Summer
F620 Psychology 2,2023-02-01,4422.36,2,2023,Summer
F62X,2023-02-01,6969.64,2,2023,Summer
F916,2023-02-01,66319.84,2,2023,Summer
F940,2023-02-01,24459.56,2,2023,Summer
G403 Biochemistry Gas meter,2023-02-01,49.5,2,2023,Summer
G404 Microbiology Gas meter,2023-02-01,13683.765,2,2023,Summer
G412,2023-02-01,40273.45,2,2023,Summer
G501 Staff Club Gas meter,2023-02-01,636.45,2,2023,Summer
G601,2023-02-01,121.82,2,2023,Summer
G608,2023-02-01,4790.36,2,2023,Summer
G60X,2023-02-01,2716.78,2,2023,Summer
F204,2023-03-01,1227.72,3,2023,Autumn
F402,2023-03-01,4101.17,3,2023,Autumn
F405,2023-03-01,1220.37,3,2023,Autumn
F512,2023-03-01,3283.57,3,2023,Autumn
F516/17,2023-03-01,1155.77,3,2023,Autumn
F603,2023-03-01,368.44,3,2023,Autumn
F620 Psychology 2,2023-03-01,5377.59,3,2023,Autumn
F62X,2023-03-01,3396.37,3,2023,Autumn
F916,2023-03-01,55159.11,3,2023,Autumn
F940,2023-03-01,28226.2,3,2023,Autumn
G403 Biochemistry Gas meter,2023-03-01,42.08,3,2023,Autumn
G404 Microbiology Gas meter,2023-03-01,18975.18,3,2023,Autumn
G412,2023-03-01,17955.29,3,2023,Autumn
