Date,0000 Ring Main #1 MP4889 - kWh,0000 Ring Main #2  - kWh,0000 Ring Main #3  - kWh,A161 Taieri Farm - kWh,C405 192 Castle College - kWh,D20X Med School Sub Main - kWh,D402 Hayward College - kWh,D403 Survey & Marine - kWh,D40X Cumberland College - kWh,E201 School of Dentistry - kWh,E212 Zoology Buildings - kWh,E214 Otago Dental School - kWh,E301 Hunter Centre - kWh,E305 Physiotherapy - kWh,E308 Student Health - kWh,E325 Research Support Facility - kWh,E902 Hocken Library - kWh,F204 444 Great King Street - kWh,F315 Botany Tin Hut - kWh,F325 Physical Education - kWh,F711 Executive Residence - kWh,F812 UOCOE Owheo Building - kWh,F813 UOCOE Robertson Library - kWh,F940 Plaza Building - kWh,F9XX College of Education main (Boiler room) - kWh,G401 Mellor Laboratories - kWh,G403 Biochemistry - kWh,G404 Microbiology - kWh,G413 Science 2 - kWh,G608 St Margarets College - kWh,G60X UNICOL - kWh,H41X Selwyn College - kWh E2,H633 Arana College main - kWh,H71X Studholm College - kWh E2,J126 Carrington College (Kitchen/Dining) - kWh,J14X Aquinas College - kWh,J303 Caroline Freeman College - kWh,J960 Portobello Marine Lab - kWh,K427 Abbey College - kWh,XC01 UoO School of Medicine ChCh - kWh,Ring Mains Total - kWh,Libraries Total - kWh,Colleges Total - kWh,Science Total - kWh,Health Science Total -kWh,Humanities Total - kWh,OBS & Psychology Total - kWh,Total Stream DN Electricity - kWh,ITS Servers Total - kWh
Nov-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
Dec-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,, , 
