Gas_Consumption_RollingMean_3,Gas_Consumption_Lag_12,Building_Code_Encoded,Gas_Consumption_RollingMean_12,Gas_Consumption_Lag_1,Gas_Consumption_RollingMean_6,Gas_Consumption_Lag_2,Gas_Consumption_Lag_3,Gas_Consumption_Lag_6,Gas_Consumption
1119.6866666666665,1520.42,13,1234.6033333333332,883.96,807.3516666666668,990.04,636.45,1520.42,1485.06
588.8066666666667,1126.85,14,931.4308333333335,639.57,482.21166666666664,395.92,121.82,1461.86,730.93
3111.6866666666665,3254.99,15,5911.183333333333,3408.53,8209.123333333333,2364.47,4790.36,3838.43,3562.06
33.333333333333336,0.0,16,12337.090000000002,0.0,5563.43,100.0,2716.78,2173.43,0.0
4164.013333333333,7212.85,0,6299.733333333334,4696.02,2997.6800000000003,2117.82,1227.72,4020.78,5678.2
8979.686666666666,4171.07,1,5728.169166666667,7559.02,6735.746666666667,9127.11,4101.17,4687.49,10252.93
7032.313333333333,14678.29,2,11272.413333333332,6140.41,3719.5516666666663,891.9,1220.37,7254.4,14064.63
10718.083333333334,17045.22,3,14608.468333333332,13629.93,10036.586666666668,5854.68,3283.57,12390.85,12669.64
3588.963333333333,3102.32,4,3685.2766666666666,4075.6,2534.5783333333334,2159.46,1155.77,2919.83,4531.83
1375.5199999999995,2505.41,5,1489.125,1400.08,884.2633333333333,921.11,368.44,663.2,1805.37
5365.796666666666,5200.7,6,5091.610833333333,5342.21,4970.733333333334,5448.35,5377.59,4634.63,5306.83
4151.123333333324,150218.72,7,27238.789166666666,4563.88,6757.366666666668,3927.06,3396.37,19069.22,3962.43
60993.9,10109.11,8,54414.20583333333,106281.36,71538.35833333332,54209.26,55159.11,46780.08,22491.08
23570.626666666667,33258.14,9,65890.92083333334,26300.94,23987.00666666668,17271.6,28226.2,18670.99,27139.34
45.96666666666666,35.36,10,63.3225,62.23,44.13999999999999,33.24,42.08,35.36,42.43
18255.041666666668,17997.51,11,17889.96375,19464.895,17263.8225,16878.415,18975.18,16141.185,18421.815
5328.119999999981,55845.98,12,53798.29083333333,1092.1,84712.14166666666,3177.02,17955.29,6304.39,11715.24
1367.1966666666665,1237.55,13,1275.855,1485.06,990.0383333333333,883.96,990.04,636.45,1732.57
771.54,1492.32,14,885.7475,730.93,482.21166666666664,639.57,395.92,944.12,944.12
3879.3733333333334,3347.11,15,6021.218333333333,3562.06,8331.953333333333,3408.53,2364.47,3930.55,4667.53
1086.7133333333334,2834.57,16,12372.554166666667,0.0,5659.650000000001,0.0,100.0,2682.82,3260.14
5957.406666666667,11724.72,0,5947.506666666667,5678.2,3689.758333333333,4696.02,2117.82,3345.53,7498.0
8446.65,5680.6,1,5882.119166666667,10252.93,7235.6483333333335,7559.02,9127.11,4528.59,7528.0
16038.679999999998,33051.58,2,10844.031666666666,14064.63,8371.385,6140.41,891.9,0.0,27911.0
14542.19,27969.03,3,13721.632500000002,12669.64,10859.278333333334,13629.93,5854.68,12390.85,17327.0
4469.143333333333,4805.56,4,3684.8133333333335,4531.83,2954.3916666666664,4075.6,2159.46,2281.12,4800.0
1945.1499999999996,2837.01,5,1471.8741666666665,1805.37,1224.345,1400.08,921.11,589.51,2630.0
5082.763333333333,5943.65,6,4979.577499999999,5306.83,5082.765,5342.21,5448.35,3927.06,4599.25
4217.1033333333235,50131.87,7,23404.88333333333,3962.43,4490.7300000000005,4563.88,3927.06,17724.82,4125.0
73541.14666666667,68762.31,8,56338.263333333336,22491.08,66051.94166666667,106281.36,54209.26,124769.5,91851.0
27167.716666666664,29371.76,9,65781.84666666666,27139.34,25243.418333333346,26300.94,17271.6,20524.4,28062.87
40.896666666666654,141.43,10,53.03916666666667,42.43,41.251666666666665,62.23,33.24,35.36,18.03
19160.225000000002,20755.48,11,17793.170833333334,18421.815,17836.33916666667,19464.895,16878.415,16158.865,19593.965
22244.113333333313,46017.08,12,54457.28416666667,11715.24,21356.350000000002,1092.1,3177.02,434059.75,53925.0
1650.0666666666664,2086.16,13,1246.3891666666666,1732.57,1243.4416666666666,1485.06,883.96,212.15,1732.57
895.0166666666665,1370.5,14,855.7058333333333,944.12,640.3933333333333,730.93,639.57,60.91,1010.0
4265.863333333334,4084.09,15,6061.544166666667,4667.53,3893.4916666666663,3562.06,3408.53,31198.77,4568.0
1485.0466666666664,8673.5,16,11749.345833333333,3260.14,1211.9866666666667,0.0,0.0,27880.98,1195.0
7256.400000000001,10404.92,0,5796.513333333333,7498.0,4968.46,5678.2,4696.02,920.79,8593.0
8446.643333333333,3495.75,1,6220.723333333334,7528.0,7687.871666666667,10252.93,7559.02,4845.66,7559.0
21927.543333333335,24610.71,2,10777.055833333332,27911.0,12339.218333333332,14064.63,6140.41,0.0,23807.0
16853.88,25973.66,3,13270.910833333333,17327.0,12221.636666666667,12669.64,13629.93,12390.85,20565.0
5016.61,6539.21,4,3616.379166666667,4800.0,3740.11,4531.83,4075.6,1003.69,5718.0
2272.7899999999995,773.73,5,1605.9799999999998,2630.0,1584.6666666666667,1805.37,1400.08,221.07,2383.0
4917.663333333334,6085.17,6,4876.389166666667,4599.25,5153.5233333333335,5306.83,5342.21,4422.36,4846.91
4090.476666666657,94603.12,7,15869.956666666667,4125.0,4026.456666666667,3962.43,4563.88,6969.64,4184.0
50212.02666666667,75377.33,8,53081.31916666666,91851.0,61047.635,22491.08,106281.36,66319.84,36294.0
28464.683333333334,283245.78,9,44694.01833333333,28062.87,26198.798333333343,27139.34,26300.94,24459.56,30191.84
43.72666666666666,70.72,10,53.03916666666667,18.03,44.788333333333334,42.43,62.23,49.5,70.72
19607.995,19022.91,11,17941.945416666666,19593.965,19023.745833333334,18421.815,19464.895,13683.765,20808.205
28175.746666666644,15934.72,12,54703.3075,53925.0,17791.941666666666,11715.24,1092.1,40273.45,18887.0
1909.363333333333,1767.93,13,1287.6408333333331,1732.57,1514.5249999999999,1732.57,1485.06,636.45,2262.95
908.04,1096.4,14,828.5058333333333,1010.0,748.4233333333333,944.12,730.93,121.82,770.0
4506.176666666667,3316.41,15,6142.093333333333,4568.0,3808.931666666666,4667.53,3562.06,4790.36,4283.0
1576.7133333333331,17638.0,16,10302.429166666667,1195.0,805.0233333333332,3260.14,0.0,2716.78,275.0
8423.0,11847.49,0,5574.055833333333,8593.0,6293.506666666667,7498.0,5678.2,1227.72,9178.0
8096.333333333333,5124.46,1,6560.518333333333,7559.0,8538.01,7528.0,10252.93,4101.17,9202.0
25045.0,9152.74,2,11965.744166666665,23807.0,16038.656666666668,27911.0,14064.63,1220.37,23417.0
20190.0,23707.73,3,13185.1,20565.0,15454.041666666666,17327.0,12669.64,3283.57,22678.0
5322.666666666667,5505.11,4,3611.786666666667,5718.0,4455.815,4800.0,4531.83,1155.77,5450.0
3216.6666666666665,4163.41,5,1645.4458333333332,2383.0,2296.0933333333332,2630.0,1805.37,368.44,4637.0
4410.566666666667,5200.7,6,4758.4591666666665,4846.91,4888.181666666667,4599.25,5306.83,5377.59,3785.54
4122.99999999999,41393.29,7,12758.849166666667,4184.0,4137.061666666667,4125.0,3962.43,3396.37,4060.0
59943.666666666664,18759.52,8,55825.1925,36294.0,60468.78333333333,91851.0,22491.08,55159.11,51686.0
164718.80666666667,121401.03,9,70902.40833333333,30191.84,94144.71666666667,28062.87,27139.34,28226.2,435901.71
43.72666666666666,106.08,10,47.73499999999999,70.72,44.846666666666664,18.03,42.43,42.08,42.43
20576.835000000003,19500.255,11,18094.28541666667,20808.205,19415.938333333335,19593.965,18421.815,18975.18,21328.335
29452.333333333314,25763.61,12,53851.756666666675,18887.0,17390.226666666666,53925.0,11715.24,17955.29,15545.0
1826.86,1520.42,13,1284.6941666666667,2262.95,1597.0283333333334,1732.57,1732.57,990.04,1485.06
900.0,1492.32,14,780.8125,770.0,835.77,1010.0,944.12,395.92,920.0
4372.333333333333,3807.72,15,6180.283333333333,4283.0,4125.8533333333335,4568.0,4667.53,2364.47,4266.0
14255.333333333334,41296.0,16,10302.429166666667,275.0,7671.0233333333335,1195.0,3260.14,100.0,41296.0
7847.0,11694.02,0,5080.3875,9178.0,6902.203333333334,8593.0,7498.0,2117.82,5770.0
8699.333333333334,5045.01,1,6918.184166666667,9202.0,8572.991666666667,7559.0,7528.0,9127.11,9337.0
21165.0,21627.6,2,11519.360833333332,23417.0,18601.84,23807.0,27911.0,891.9,16271.0
19670.333333333332,21509.44,3,12706.646666666667,22678.0,17106.26166666667,20565.0,17327.0,5854.68,15768.0
4919.0,5292.2,4,3469.853333333334,5450.0,4694.071666666667,5718.0,4800.0,2159.46,3589.0
