Category,Meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
Janitza_Med_Data,E201 Dental CSB DB-C-WS:,1480,1613,1913,1708,2345,2338,2309,2932,2547,2259.31,2062.9,1511.36,1147.61,1623.08,2174.34,1674.28,2301.68,2245.09,2262.46,2753.65,2267.97,2389.31,1752.18,1179.06,1038.23,1265.11,1518,1825.18,2202.74,1749.58,1985.77,2376.93,2119.18,2276.62,0,0
Janitza_Med_Data,E201 Dental CSB DB-CSSD:,3663,3149,4388,4215,4655,4388,5003,5168,4673,4961.42,4157.3,3627.49,3475.92,3450.27,4956.43,3638.98,4680.03,4088.13,4616.48,4356.05,4239.5,4977.54,3685.02,3550.08,3879.47,4118.93,4744.96,4777.81,5582.59,4587.01,5287.63,5642.43,5284.59,5450.35,0,0
Janitza_Med_Data,E201 Dental CSB MSSB-4-2:,42775,38312,42086,40570,41281,41348,52924,44361,41295,40200.57,48480.64,62689.41,89843.97,73717.89,65578.49,62458.75,63534.21,63189.89,65925.12,66580.09,61810.69,61390.21,39871.62,36242.18,40289.15,45650.18,52236.29,60773.89,58973.44,45013.76,53472.77,48980.48,47719.68,53675.52,0,0
Janitza_Med_Data,E201 Dental CSB MSSB01:,17665,16694,19248,19773,20725,19638,22788,19705,19592,19175.04,18737.09,18983.87,18698.94,17422.53,18966.72,18244.22,19925.25,20005.38,22600.38,24012.42,21889.22,21513.98,19712.51,18827.84,18480.83,18093.12,22619.65,23244.54,24523.26,21910.21,21063.1,21603.9,20285.76,21465.73,0,0
Janitza_Med_Data,E201 Dental CSB MSSD02:,17239,12659,14255,13540,14435,16621,17823,16470,15875,16351.01,15987.52,15575.55,15754.91,16730.94,19379.9,16043.01,14359.36,12933.06,13632.19,14078.59,14443.78,15046.78,12667.71,12302.78,12217.09,12360.26,13802.75,14107.71,14602.05,13366.46,14423.1,15866.37,15406.08,15457.22,0,0
Janitza_Med_Data,E201 Dental Plantroom MSB-C :,94193,87269,104386,96526,105881,101539,115655,109001,103111,102185.73,100377.6,105616.9,115876.87,105579.52,114396.67,107533.31,114156.55,110455.8,121251.33,125526.02,117347.84,118254.08,96736.26,90157.57,91942.91,94981.12,108935.17,112403.45,118947.33,102268.41,111298.56,110901.25,105555.45,112825.86,0,0
Janitza_Med_Data,E201 Dental Walsh MSB Total:,69617,62328,73181,59194,61029,51066,54071,57648,55840,60484.99,65502.59,64977.15,74281.34,79227.27,74117.76,59681.66,64562.82,53677.31,57417.86,59601.66,61312,64481.92,56480,58275.59,65930.24,65321.47,64157.7,61250.05,60316.16,52356.86,59760.38,59952.64,59666.18,67555.33,0,0
Janitza_Med_Data,E201 Dental Walsh MSSB 0-3:,1281,1070,1273,1155,1272,1144,1144,1216,1162,1169.2,1097.56,1054.59,929.38,970.76,1217.34,1123.78,1374.72,1483.36,1268.99,1097.87,1147.91,1290.92,876.26,788.39,757.49,792.99,954.65,914.4,1166.63,1307.05,1419.75,1212.21,1096.26,1242.25,0,0
Janitza_Med_Data,E201 Dental Walsh MSSB 1-1:,144,191,1064,738,1573,431,700,1017,1046,1115.38,218.91,103.61,47.84,162.38,898.4,1015.72,974.68,382.61,656.81,847.31,749.51,457.32,287.63,124.92,254.19,332.95,921.09,892.03,1134.2,501.56,810.96,1092.49,791.8,1323,0,0
Janitza_Med_Data,E201 Dental Walsh MSSB 4-2:,31321,24287,26361,16399,13071,7803,7689,10702,9941,13842.45,23551.89,25867.17,34991.46,37530.75,26229.02,15513.12,15739.23,10745.76,10652.38,10921.95,14699.62,17786.66,14869.31,18230.56,24433.57,21807.33,16020.99,14248.58,8018.11,6591.74,9471.94,8972.67,10406.98,15157.76,0,0
