Building,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00
,17239.0,12659.0,14255.0,13540.0,14435.0,16621.0,17823.0,16470.0,15875.0,16351.0078125,15987.51953125,15575.55,15754.91,16730.94,19379.9,16043.01,14359.36,12933.06,13632.19,14078.59,14443.78,15046.78,12667.71,12302.78,12217.09,12360.26,13802.75,14107.71,14602.05,13366.46,14423.1,15866.37,15406.08,15457.22,14171.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,94193.0,87269.0,104386.0,96526.0,105881.0,101539.0,115655.0,109001.0,103111.0,102185.7265625,100377.6015625,105616.9,115876.87,105579.52,114396.67,107533.31,114156.55,110455.8,121251.33,125526.02,117347.84,118254.08,96736.26,90157.57,91942.91,94981.12,108935.17,112403.45,118947.33,102268.41,111298.56,110901.25,105555.45,112825.86,131271.50733333334,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,69617.0,62328.0,73181.0,59194.0,61029.0,51066.0,54071.0,57648.0,55840.0,60484.9921875,65502.59375,64977.15,74281.34,79227.27,74117.76,59681.66,64562.82,53677.31,57417.86,59601.66,61312.0,64481.92,56480.0,58275.59,65930.24,65321.47,64157.7,61250.05,60316.16,52356.86,59760.38,59952.64,59666.18,67555.33,90059.66666666667,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,1281.0,1070.0,1273.0,1155.0,1272.0,1144.0,1144.0,1216.0,1162.0,1169.2010498046875,1097.5579833984375,1054.59,929.38,970.76,1217.34,1123.78,1374.72,1483.36,1268.99,1097.87,1147.91,1290.92,876.26,788.39,757.49,792.99,954.65,914.4,1166.63,1307.05,1419.75,1212.21,1096.26,1242.25,1389.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,144.0,191.0,1064.0,738.0,1573.0,431.0,700.0,1017.0,1046.0,1115.383056640625,218.90899658203125,103.61,47.84,162.38,898.4,1015.72,974.68,382.61,656.81,847.31,749.51,457.32,287.63,124.92,254.19,332.95,921.09,892.03,1134.2,501.56,810.96,1092.49,791.8,1323.0,575.6513333333334,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,31321.0,24287.0,26361.0,16399.0,13071.0,7803.0,7689.0,10702.0,9941.0,13842.4482421875,23551.888671875,25867.17,34991.46,37530.75,26229.02,15513.12,15739.23,10745.76,10652.38,10921.95,14699.62,17786.66,14869.31,18230.56,24433.57,21807.33,16020.99,14248.58,8018.11,6591.74,9471.94,8972.67,10406.98,15157.76,14171.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,6585.0,6020.0,6611.0,6137.0,6186.0,5739.0,5879.0,6072.0,5934.0,6249.77587890625,6107.14404296875,6360.14,6569.46,6128.04,6868.63,6563.83,6667.1,6226.08,6374.34,6430.43,6177.26,6328.94,6546.48,7074.91,7076.11,6596.86,6829.17,6513.89,6369.44,6148.93,6476.37,6530.34,6452.27,6842.99,8271.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,13596.0,12978.0,15785.0,15240.0,16626.0,15410.0,16760.0,16918.0,16610.0,17053.392578125,15379.408203125,14136.67,13904.66,14874.16,16676.88,14716.58,16822.11,14623.55,15529.15,16360.77,15199.46,15686.3,13197.98,12053.79,13472.35,14054.98,16469.28,16193.76,17678.46,15262.66,17347.49,16939.84,16085.44,17585.73,14171.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,10529.0,12597.0,15835.0,13944.0,16583.0,15061.0,16048.0,15889.0,15562.0,15095.82421875,13715.8876953125,11877.94,12233.63,13890.85,16659.14,14955.73,17234.72,14408.64,16833.92,17815.97,17418.14,16779.58,14694.62,13467.74,13292.45,15657.6,16825.54,16350.02,19560.38,16545.44,17841.02,18679.68,18472.74,18825.73,14171.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,68939.0,61325.0,71092.0,65658.0,71186.0,72432.0,78334.0,77359.0,76093.0,74203.6484375,67271.6796875,68214.27,68709.89,65343.49,71593.98,67376.13,70440.96,67592.2,71817.22,75611.65,70140.41,70515.2,66847.23,67720.7,71308.8,68215.8,68503.04,66613.25,72144.38,65764.87,70384.13,72072.7,70238.72,71775.74,90059.66666666667,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
