,,Month,F204 444 Great King Street - kWh,F813 Bill Robertson Library 1 MSB:,F419 ISB West Excluding Shops,F505 Richardson Library Block Rising Main:,F518 Arts 1 Submains MSB:,"F516 97 Albany & F517 99 Albany, F513 262 Leith Walk:",F614 1 School of Business Incomer 1 (Lower floors):,F614 2 School of Business Incomer 2 (Upper floors):,F618 1  Psychology substation- Goddard:,F505 1 Richardson Mains:,G506/07 Archway buildings (incl. Allen & Marama Hall):,F315 Botany Tin Hut - kWh,F325 Physical Education - kWh,F711 Executive Residence - kWh,F812 UOCOE Owheo Building - kWh,F813 UOCOE Robertson Library - kWh,F940 Plaza Building - kWh,F9XX College of Education main (Boiler room) - kWh,G401 Mellor Laboratories - kWh,G505 Geology north:,G505 Geology south:,G403 Biochemistry - kWh,G404 Microbiology - kWh,G413 Science 2 - kWh,G608 St Margarets College - kWh,G60X UNICOL - kWh,H41X Selwyn College - kWh E2,H633 Arana College main - kWh,H71X Studholm College - kWh E2
G401 Mellor Laboratories - kWh,7,Aug-22,,,,,,,,,,,,,,,,,,,119970.048,,,,,,,,,,
G401 Mellor Laboratories - kWh,14,Mar-23,,,,,,,,,,,,,,,,,,,121636.8,,,,,,,,,,
G401 Mellor Laboratories - kWh,16,May-23,,,,,,,,,,,,,,,,,,,120440.064,,,,,,,,,,
G401 Mellor Laboratories - kWh,19,Aug-23,,,,,,,,,,,,,,,,,,,122692.288,,,,,,,,,,
G401 Mellor Laboratories - kWh,28,May-24,,,,,,,,,,,,,,,,,,,120342.816,,,,,,,,,,
G401 Mellor Laboratories - kWh,31,Aug-24,,,,,,,,,,,,,,,,,,,122152.0,,,,,,,,,,
G505 Geology north:,6,Jul-22,,,,,,,,,,,,,,,,,,,,52997.0,,,,,,,,,
G505 Geology north:,7,Aug-22,,,,,,,,,,,,,,,,,,,,49326.0,,,,,,,,,
G505 Geology north:,8,Sep-22,,,,,,,,,,,,,,,,,,,,47418.0,,,,,,,,,
G505 Geology north:,18,Jul-23,,,,,,,,,,,,,,,,,,,,50216.96,,,,,,,,,
G505 Geology north:,19,Aug-23,,,,,,,,,,,,,,,,,,,,52869.38,,,,,,,,,
G505 Geology north:,28,May-24,,,,,,,,,,,,,,,,,,,,48492.54,,,,,,,,,
G505 Geology north:,30,Jul-24,,,,,,,,,,,,,,,,,,,,47359.49,,,,,,,,,
G505 Geology north:,31,Aug-24,,,,,,,,,,,,,,,,,,,,48819.2,,,,,,,,,
G505 Geology south:,5,Jun-22,,,,,,,,,,,,,,,,,,,,,19565.0,,,,,,,,
G505 Geology south:,6,Jul-22,,,,,,,,,,,,,,,,,,,,,20874.0,,,,,,,,
G505 Geology south:,7,Aug-22,,,,,,,,,,,,,,,,,,,,,18672.0,,,,,,,,
G505 Geology south:,17,Jun-23,,,,,,,,,,,,,,,,,,,,,17342.08,,,,,,,,
G505 Geology south:,18,Jul-23,,,,,,,,,,,,,,,,,,,,,18504.58,,,,,,,,
G505 Geology south:,19,Aug-23,,,,,,,,,,,,,,,,,,,,,18972.67,,,,,,,,
G505 Geology south:,30,Jul-24,,,,,,,,,,,,,,,,,,,,,16605.95,,,,,,,,
G403 Biochemistry - kWh,2,Mar-22,,,,,,,,,,,,,,,,,,,,,,149336.688,,,,,,,
G403 Biochemistry - kWh,4,May-22,,,,,,,,,,,,,,,,,,,,,,152989.776,,,,,,,
G403 Biochemistry - kWh,5,Jun-22,,,,,,,,,,,,,,,,,,,,,,151741.944,,,,,,,
G403 Biochemistry - kWh,6,Jul-22,,,,,,,,,,,,,,,,,,,,,,161403.528,,,,,,,
G403 Biochemistry - kWh,7,Aug-22,,,,,,,,,,,,,,,,,,,,,,159507.6,,,,,,,
G403 Biochemistry - kWh,8,Sep-22,,,,,,,,,,,,,,,,,,,,,,149133.096,,,,,,,
G404 Microbiology - kWh,14,Mar-23,,,,,,,,,,,,,,,,,,,,,,,118099.872,,,,,,
G404 Microbiology - kWh,16,May-23,,,,,,,,,,,,,,,,,,,,,,,118004.952,,,,,,
G404 Microbiology - kWh,25,Feb-24,,,,,,,,,,,,,,,,,,,,,,,114057.288,,,,,,
G404 Microbiology - kWh,26,Mar-24,,,,,,,,,,,,,,,,,,,,,,,116187.36,,,,,,
G404 Microbiology - kWh,33,Oct-24,,,,,,,,,,,,,,,,,,,,,,,112037.88,,,,,,
G413 Science 2 - kWh,4,May-22,,,,,,,,,,,,,,,,,,,,,,,,133904.496,,,,,
G413 Science 2 - kWh,5,Jun-22,,,,,,,,,,,,,,,,,,,,,,,,145255.608,,,,,
G413 Science 2 - kWh,6,Jul-22,,,,,,,,,,,,,,,,,,,,,,,,147425.952,,,,,
G413 Science 2 - kWh,7,Aug-22,,,,,,,,,,,,,,,,,,,,,,,,148776.216,,,,,
G608 St Margarets College - kWh,26,Mar-24,,,,,,,,,,,,,,,,,,,,,,,,,42300.066,,,,
G608 St Margarets College - kWh,28,May-24,,,,,,,,,,,,,,,,,,,,,,,,,41053.158,,,,
G608 St Margarets College - kWh,31,Aug-24,,,,,,,,,,,,,,,,,,,,,,,,,41438.298,,,,
G60X UNICOL - kWh,7,Aug-22,,,,,,,,,,,,,,,,,,,,,,,,,,84484.704,,,
G60X UNICOL - kWh,28,May-24,,,,,,,,,,,,,,,,,,,,,,,,,,82622.288,,,
H41X Selwyn College - kWh E2,6,Jul-22,,,,,,,,,,,,,,,,,,,,,,,,,,,66641.76,,
H41X Selwyn College - kWh E2,19,Aug-23,,,,,,,,,,,,,,,,,,,,,,,,,,,72355.278,,
H41X Selwyn College - kWh E2,28,May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,73830.822,,
H41X Selwyn College - kWh E2,31,Aug-24,,,,,,,,,,,,,,,,,,,,,,,,,,,72886.464,,
H633 Arana College main - kWh,4,May-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,54997.152,
H633 Arana College main - kWh,7,Aug-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,55323.616,
H633 Arana College main - kWh,9,Oct-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,55007.216,
H633 Arana College main - kWh,16,May-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,55909.456,
H633 Arana College main - kWh,18,Jul-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,57151.008,
H633 Arana College main - kWh,19,Aug-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,60545.264,
H633 Arana College main - kWh,20,Sep-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,55404.672,
H633 Arana College main - kWh,21,Oct-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,54809.504,
H71X Studholm College - kWh E2,6,Jul-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60932.97
H71X Studholm College - kWh E2,7,Aug-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60960.69
H71X Studholm College - kWh E2,19,Aug-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64944.51
H71X Studholm College - kWh E2,28,May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70126.98
H71X Studholm College - kWh E2,31,Aug-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72074.53
