Meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
E811 Te Rangihiroa SW Riser DB.TRH1B Power Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.01,116.16,212.9,280.3,289.43,149.6,176.06,264.32,253.34,284.94,234.14,0.11,0.01,116.16,212.9,280.3,289.43,299.19,352.12,528.65,506.69,569.89,468.29,432.77,554.25,502.24,566.55,0.0,0.0
E811 Te Rangihiroa SW Riser DB.TRH2B Lighting Essential,0.0,0.0,0.0,0.0,0.0,0.0,16.0,169.97,311.75,300.08,182.65,138.49,97.59,154.66,227.12,221.78,250.92,203.08,16.0,169.97,311.75,300.08,182.65,138.49,195.18,309.32,454.24,443.56,501.83,406.16,414.55,440.52,391.9,456.25,0.0,0.0
E811 Te Rangihiroa SW Riser DB.TRH2B Lighting Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,18.49,161.04,251.25,67.26,75.28,7.84,14.81,34.98,85.42,102.35,118.5,73.28,18.49,161.04,251.25,67.26,75.28,7.84,29.62,69.97,170.83,204.7,237.0,146.55,150.39,231.38,198.1,250.94,0.0,0.0
E811 Te Rangihiroa SW Riser DB.TRH2B Power Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,1.58,1.54,0.92,76.46,11.13,4.63,18.68,54.96,129.65,132.36,149.8,100.18,1.58,1.54,0.92,76.46,11.13,4.63,37.37,109.91,259.29,264.73,299.61,200.36,238.91,363.9,331.97,344.67,0.0,0.0
E811 Te Rangihiroa SW Riser DB.TRH3B Lighting Essential,0.0,0.0,0.0,0.0,0.0,0.0,17.12,143.1,212.21,269.47,166.69,134.46,97.11,134.06,196.51,201.99,229.97,206.64,17.12,143.1,212.21,269.47,166.69,134.46,194.22,268.11,393.02,403.98,459.94,413.27,425.29,483.18,463.14,497.67,0.0,0.0
E811 Te Rangihiroa SW Riser DB.TRH3B Lighting Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,15.8,355.93,331.71,57.69,62.11,2.13,20.58,25.34,75.17,92.54,124.72,85.96,15.8,355.93,331.71,57.69,62.11,2.13,41.15,50.67,150.34,185.09,249.44,171.91,185.9,261.64,238.22,263.71,0.0,0.0
E811 Te Rangihiroa SW Riser DB.TRH3B Power Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1.36,0.73,74.58,7.82,5.07,15.98,31.06,68.73,84.86,123.9,95.35,0.28,1.36,0.73,74.58,7.82,5.07,31.96,62.11,137.46,169.71,247.81,190.7,298.77,313.2,313.13,329.64,0.0,0.0
E811 Te Rangihiroa SW Riser DB.TRH4B Lighting Essential,0.0,0.0,0.0,0.0,0.0,0.0,18.14,206.46,232.95,244.02,145.78,190.91,95.82,131.42,216.64,210.42,233.66,192.04,18.14,206.46,232.95,244.02,145.78,190.91,191.63,262.83,433.29,420.85,467.32,384.07,408.46,467.72,438.36,467.26,0.0,0.0
E811 Te Rangihiroa SW Riser DB.TRH4B Lighting Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,10.83,365.53,169.46,65.88,20.34,3.3,13.34,30.14,78.7,86.35,114.5,80.23,10.83,365.53,169.46,65.88,20.34,3.3,26.67,60.27,157.41,172.7,229.01,160.46,162.7,231.45,189.43,240.68,0.0,0.0
E811 Te Rangihiroa SW Riser DB.TRH4B Power Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,6.54,3.3,88.9,109.4,5.89,6.83,15.62,51.85,124.79,115.54,134.73,89.62,6.54,3.3,88.9,109.4,5.89,6.83,31.24,103.7,249.58,231.08,269.46,179.23,174.79,299.96,265.28,286.24,0.0,0.0
